Market A,Market B,Market C,P1,P2,P3,Profit(%)
BTC,ETH,QSP,0.020882,5.032e-05,1.05e-06,-0.07444358785509975
BTC,ETH,XVG,0.020882,1.677e-05,3.5e-07,-0.05458162076861228
BTC,ETH,BLZ,0.020882,7.1e-05,1.48e-06,-0.17684885291059382
BTC,ETH,OST,0.020882,3.237e-05,6.7e-07,-0.880292478290623
BTC,ETH,WTC,0.020882,0.001295,2.72e-05,0.5835695999473423
BTC,ETH,ENG,0.020882,0.0011883,2.491e-05,0.3865523028888651
BTC,ETH,XEM,0.020882,0.00019532,4.07e-06,-0.21262409651233716
BTC,ETH,ARN,0.020882,0.00056706,1.179e-05,-0.43362398168804717
BTC,ETH,RLC,0.020882,0.001841,3.851e-05,0.17229843426873614
BTC,ETH,NEO,0.020882,0.050293,0.001049,-0.11601643713684551
BTC,ETH,HC,0.020882,0.005148,0.0001063,-1.1167721061409397
BTC,ETH,EVX,0.020882,0.0008049,1.68e-05,-0.047131347315076955
