,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,cash,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_mavg,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,price_change,returns,sharpe,short_exposure,short_mavg,short_value,shorts_count,signal,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2019-11-01 23:59:00+00:00,,0.0,,0.0009999999999998899,,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-01 23:59:00+00:00,2019-11,2019-11-01 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,1,[],0.001
2019-11-02 23:59:00+00:00,0.0,0.0,,0.0020009999999996975,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-02 23:59:00+00:00,2019-11,2019-11-02 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,2,[],0.001
2019-11-03 23:59:00+00:00,0.0,0.0,,0.0030030009999995055,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-03 23:59:00+00:00,2019-11,2019-11-03 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,3,[],0.001
2019-11-04 23:59:00+00:00,0.0,0.0,,0.004006004000999486,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-04 23:59:00+00:00,2019-11,2019-11-04 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,4,[],0.001
2019-11-05 23:59:00+00:00,0.0,0.0,,0.005010010005000343,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-05 23:59:00+00:00,2019-11,2019-11-05 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,5,[],0.001
2019-11-06 23:59:00+00:00,0.0,0.0,,0.006015020015005312,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-06 23:59:00+00:00,2019-11,2019-11-06 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,6,[],0.001
2019-11-07 23:59:00+00:00,0.0,0.0,,0.007021035035020162,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-07 23:59:00+00:00,2019-11,2019-11-07 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,7,[],0.001
2019-11-08 23:59:00+00:00,0.0,0.0,,0.008028056070054967,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-08 23:59:00+00:00,2019-11,2019-11-08 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,8,[],0.001
2019-11-09 23:59:00+00:00,0.0,0.0,,0.009036084126124999,0.0,,0.0,,1000.0,0.0,0.0,-0.001,0.0,,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-09 23:59:00+00:00,2019-11,2019-11-09 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,9,[],0.001
2019-11-10 23:59:00+00:00,0.0,0.0,,0.010045120210250946,3.628434473600098e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-4375029501535137.5,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-10 23:59:00+00:00,2019-11,2019-11-10 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,10,[],0.001
2019-11-11 23:59:00+00:00,0.0,0.0,,0.011055165330461136,3.6102467175966695e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-4397070091917474.5,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-11 23:59:00+00:00,2019-11,2019-11-11 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,11,[],0.001
2019-11-12 23:59:00+00:00,0.0,0.0,,0.012066220495791535,3.595297391612143e-18,,0.0,,1000.0,0.0,0.0,-0.001,0.0,-4415353206503277.5,0.0,,0.0,0,0.0,0.0,0.0,[],2019-11-12 23:59:00+00:00,2019-11,2019-11-12 00:00:00+00:00,0.0,1000.0,[],,,0.0,,0,,0,0,,,1000.0,0.0,0.0,12,[],0.001
